ԱԱ	ɑ ɑ́
վերջադիր	v e ɾ t͡ʃʰ ɑ tʰ í ɾ
վերջազարդ	v e ɾ t͡ʃʰ ɑ z ɑ́ ɾ tʰ
վերջալույս	v e ɾ t͡ʃʰ ɑ l ú j s
վերջալույսային	v e ɾ t͡ʃʰ ɑ l u j s ɑ j í n
վերջածանց	v e ɾ t͡ʃʰ ɑ d͡z ɑ́ n t͡sʰ
վերջածանցային	v e ɾ t͡ʃʰ ɑ d͡z ɑ n t͡sʰ ɑ j í n
վերջածանցավոր	v e ɾ t͡ʃʰ ɑ d͡z ɑ n t͡sʰ ɑ v ó ɾ
վերջակալ	v e ɾ t͡ʃʰ ɑ ɡ ɑ́ l
վերջակայան	v e ɾ t͡ʃʰ ɑ ɡ ɑ j ɑ́ n
վերջակետ	v e ɾ t͡ʃʰ ɑ ɡ é d
վերջակետել	v e ɾ t͡ʃʰ ɑ ɡ e d é l
վերջահանգ	v e ɾ t͡ʃʰ ɑ h ɑ́ ŋ kʰ
վերջամաս	v e ɾ t͡ʃʰ ɑ m ɑ́ s
վերջամասնիկ	v e ɾ t͡ʃʰ ɑ m ɑ s n í ɡ
վերջամասնիկային	v e ɾ t͡ʃʰ ɑ m ɑ s n i ɡ ɑ j í n
վերջամասնիկավոր	v e ɾ t͡ʃʰ ɑ m ɑ s n i ɡ ɑ v ó ɾ
վերջամեկնում	v e ɾ t͡ʃʰ ɑ m e ɡ n ú m
վերջամուտ	v e ɾ t͡ʃʰ ɑ m ú d
վերջանալ	v e ɾ t͡ʃʰ ɑ n ɑ́ l
վերջանալի	v e ɾ t͡ʃʰ ɑ n ɑ l í
վերջանալիք	v e ɾ t͡ʃʰ ɑ n ɑ l í kʰ
վերջանվագ	v e ɾ t͡ʃʰ ɑ n ə v ɑ́ kʰ
վերջաշեշտ	v e ɾ t͡ʃʰ ɑ ʃ é ʃ t
վերջապահ	v e ɾ t͡ʃʰ ɑ b ɑ́ h
վերջապար	v e ɾ t͡ʃʰ ɑ b ɑ́ ɾ
վերջապես	v e ɾ t͡ʃʰ ɑ b é s
վերջավանկ	v e ɾ t͡ʃʰ ɑ v ɑ́ ŋ ɡ
վերջավանկային	v e ɾ t͡ʃʰ ɑ v ɑ ŋ ɡ ɑ j í n
վերջավոր	v e ɾ t͡ʃʰ ɑ v ó ɾ
վերջավորել	v e ɾ t͡ʃʰ ɑ v o ɾ é l
վերջավորություն	v e ɾ t͡ʃʰ ɑ v o ɾ u tʰ ʏ́ n
վերջավորվել	v e ɾ t͡ʃʰ ɑ v o ɾ v é l
վերջատանջ	v e ɾ t͡ʃʰ ɑ d ɑ́ n t͡ʃʰ
վերջացնել	v e ɾ t͡ʃʰ ɑ t͡sʰ ə n é l
վերջացվել	v e ɾ t͡ʃʰ ɑ t͡sʰ v é l
վերջափակել	v e ɾ t͡ʃʰ ɑ pʰ ɑ ɡ é l
վերջափակում	v e ɾ t͡ʃʰ ɑ pʰ ɑ ɡ ú m
վերջափակվել	v e ɾ t͡ʃʰ ɑ pʰ ɑ ɡ v é l
վերջաքիմք	v e ɾ t͡ʃʰ ɑ kʰ í m kʰ
վերջաքմային	v e ɾ t͡ʃʰ ɑ kʰ ə m ɑ j í n
վերջերգ	v e ɾ t͡ʃʰ é ɾ kʰ
վերջերս	v e ɾ t͡ʃʰ é ɾ ə s
վերջերքս	v e ɾ t͡ʃʰ é ɾ kʰ ə s
վերջը	v é ɾ t͡ʃʰ ə
վերջընթեր	v e ɾ t͡ʃʰ ə n tʰ é ɾ
վերջի	v e ɾ t͡ʃʰ í
վերջին	v e ɾ t͡ʃʰ í n
վերջինեկ	v e ɾ t͡ʃʰ i n é ɡ
վերջիվերջո	v e ɾ t͡ʃʰ i v e ɾ t͡ʃʰ ó
վերջնագիծ	v e ɾ t͡ʃʰ n ɑ kʰ í d͡z
վերջնագիր	v e ɾ t͡ʃʰ n ɑ kʰ í ɾ
վերջնազարդ	v e ɾ t͡ʃʰ n ɑ z ɑ́ ɾ tʰ
վերջնաժամկետ	v e ɾ t͡ʃʰ n ɑ ʒ ɑ m ɡ é d
վերջնալույս	v e ɾ t͡ʃʰ n ɑ l ú j s
վերջնախաղ	v e ɾ t͡ʃʰ n ɑ χ ɑ́ ʁ
վերջնական	v e ɾ t͡ʃʰ n ɑ ɡ ɑ́ n
վերջնականապես	v e ɾ t͡ʃʰ n ɑ ɡ ɑ n ɑ b é s
վերջնականորեն	v e ɾ t͡ʃʰ n ɑ ɡ ɑ n o ɾ é n
վերջնակետ	v e ɾ t͡ʃʰ n ɑ ɡ é d
վերջնակետային	v e ɾ t͡ʃʰ n ɑ ɡ e d ɑ j í n
վերջնահանգ	v e ɾ t͡ʃʰ n ɑ h ɑ́ ŋ kʰ
վերջնահաշիվ	v e ɾ t͡ʃʰ n ɑ h ɑ ʃ í v
վերջնահաս	v e ɾ t͡ʃʰ n ɑ h ɑ́ s
վերջնահնչյուն	v e ɾ t͡ʃʰ n ɑ h ə n t͡ʃʰ ʏ́ n
վերջնաղիք	v e ɾ t͡ʃʰ n ɑ ʁ í kʰ
վերջնամառային	v e ɾ t͡ʃʰ n ɑ m ɑ r ɑ j í n
վերջնամշակել	v e ɾ t͡ʃʰ n ɑ m ə ʃ ɑ ɡ é l
վերջնամշակում	v e ɾ t͡ʃʰ n ɑ m ə ʃ ɑ ɡ ú m
վերջնամրցում	v e ɾ t͡ʃʰ n ɑ m ə ɾ t͡sʰ ú m
վերջնային	v e ɾ t͡ʃʰ n ɑ j í n
վերջնանպատակ	v e ɾ t͡ʃʰ n ɑ n ə b ɑ d ɑ́ ɡ
վերջնաշեշտ	v e ɾ t͡ʃʰ n ɑ ʃ é ʃ t
վերջնապես	v e ɾ t͡ʃʰ n ɑ b é s
վերջնասահման	v e ɾ t͡ʃʰ n ɑ s ɑ h m ɑ́ n
վերջնավանկ	v e ɾ t͡ʃʰ n ɑ v ɑ́ ŋ ɡ
վերջնավանկային	v e ɾ t͡ʃʰ n ɑ v ɑ ŋ ɡ ɑ j í n
վերջնավարտ	v e ɾ t͡ʃʰ n ɑ v ɑ́ ɾ d
վերջնեկ	v e ɾ t͡ʃʰ n é ɡ
վերջնուղեղ	v e ɾ t͡ʃʰ n u ʁ é ʁ
վերջոտնել	v e ɾ t͡ʃʰ o d n é l
վերջվածք	v e ɾ t͡ʃʰ v ɑ́ t͡sʰ kʰ
վերստ	v e ɾ s t
վերստին	v e ɾ ə s t í n
վերցնել	v e ɾ t͡sʰ ə n é l
վերք	v e ɾ kʰ
վերև	v e ɾ é v
վեց	v e t͡sʰ
վեցանկյուն	v e t͡sʰ ɑ ŋ ɡ ʏ́ n
վեցերորդ	v é t͡sʰ e ɾ o ɾ tʰ
վզան	v ə z ɑ́ n
վզիկ	v ə z í ɡ
վզնոց	v ə z n ó t͡sʰ
վթար	v ə tʰ ɑ́ ɾ
վիետնամական	v i j e d n ɑ m ɑ ɡ ɑ́ n
վիետնամերեն	v i j e d n ɑ m e ɾ é n
վիետնամցի	v i j e d n ɑ m t͡sʰ í
վիզ	v i z
վիզա	v i z ɑ́
վիզա	v í z ɑ
վիթ	v i tʰ
վիթխարի	v i tʰ χ ɑ ɾ í
վիժանուտ	v i ʒ ɑ n ú d
վիժել	v i ʒ é l
վիկի	v i ɡ í
վիկինգ	v i ɡ í ŋ kʰ
վիկինգ	v í ɡ i ŋ kʰ
վիճաբանել	v i d͡ʒ ɑ pʰ ɑ n é l
վիճաբանություն	v i d͡ʒ ɑ pʰ ɑ n u tʰ ʏ́ n
վիճակ	v i d͡ʒ ɑ́ ɡ
վիճակագիր	v i d͡ʒ ɑ ɡ ɑ kʰ í ɾ
վիճակագրական	v i d͡ʒ ɑ ɡ ɑ kʰ ɾ ɑ ɡ ɑ́ n
վիճակագրություն	v i d͡ʒ ɑ ɡ ɑ kʰ ɾ u tʰ ʏ́ n
վիճակախաղ	v i d͡ʒ ɑ ɡ ɑ χ ɑ́ ʁ
վիճարկել	v i d͡ʒ ɑ ɾ ɡ é l
վիճել	v i d͡ʒ é l
վիճվել	v i d͡ʒ v é l
վին	v i n
վիշապ	v i ʃ ɑ́ b
վիշտ	v i ʃ t
վիպասան	v i b ɑ s ɑ́ n
վիսկի	v i s k í
վիրաբուժական	v i ɾ ɑ pʰ u ʒ ɑ ɡ ɑ́ n
վիրաբուժություն	v i ɾ ɑ pʰ u ʒ u tʰ ʏ́ n
վիրաբույժ	v i ɾ ɑ pʰ ú j ʒ
վիրագ	v i ɾ ɑ́ kʰ
վիրակապ	v i ɾ ɑ ɡ ɑ́ b
վիրահատել	v i ɾ ɑ h ɑ d é l
վիրավոր	v i ɾ ɑ v ó ɾ
վիրավորանք	v i ɾ ɑ v o ɾ ɑ́ ŋ kʰ
վիրավորել	v i ɾ ɑ v o ɾ é l
վիրուս	v i ɾ ú s
վիրուս	v í ɾ u s
վիրք	v i ɾ kʰ
վիքի	v i kʰ í
վլաստ	v ə l ɑ́ s t
վխտալ	v ə χ t ɑ́ l
վկա	v ə ɡ ɑ́
վկայագիր	v ə ɡ ɑ j ɑ kʰ í ɾ
վկայական	v ə ɡ ɑ j ɑ ɡ ɑ́ n
վկայել	v ə ɡ ɑ j é l
վկայություն	v ə ɡ ɑ j u tʰ ʏ́ n
վհատ	v ə h ɑ́ d
վհատական	v ə h ɑ d ɑ ɡ ɑ́ n
վհատել	v ə h ɑ d é l
վհատեցնել	v ə h ɑ d e t͡sʰ ə n é l
վհատեցնող	v ə h ɑ d e t͡sʰ n ó ʁ
վհատեցուցիչ	v ə h ɑ d e t͡sʰ u t͡sʰ í t͡ʃʰ
վհատիլ	v ə h ɑ d í l
վհատիչ	v ə h ɑ d í t͡ʃʰ
վհատորեն	v ə h ɑ d o ɾ é n
վհատություն	v ə h ɑ d u tʰ ʏ́ n
վհատում	v ə h ɑ d ú m
վհատված	v ə h ɑ d v ɑ́ d͡z
վհուկ	v ə h ú ɡ
վճար	v ə d͡ʒ ɑ́ ɾ
վճարել	v ə d͡ʒ ɑ ɾ é l
վճիռ	v ə d͡ʒ í r
վճիտ	v ə d͡ʒ í d
վճռական	v ə d͡ʒ r ɑ ɡ ɑ́ n
վճռականություն	v ə d͡ʒ r ɑ ɡ ɑ n u tʰ ʏ́ n
վճռել	v ə d͡ʒ r é l
վյուն	v ʏ n
վնաս	v ə n ɑ́ s
վնասաբեր	v ə n ɑ s ɑ pʰ é ɾ
վնասագիր	v ə n ɑ s ɑ kʰ í ɾ
վնասակար	v ə n ɑ s ɑ ɡ ɑ́ ɾ
վնասարար	v ə n ɑ s ɑ ɾ ɑ́ ɾ
վնասել	v ə n ɑ s é l
վնասված	v ə n ɑ s v ɑ́ d͡z
վնասվածք	v ə n ɑ s v ɑ́ t͡sʰ kʰ
վնասվել	v ə n ɑ s v é l
վշտանալ	v ə ʃ t ɑ n ɑ́ l
վոդ	v o tʰ
վոլապյուկ	v o l ɑ b ʏ́ ɡ
վոլեյբոլ	v o l e j pʰ ó l
վուշ	v u ʃ
վուվուզել	v u v u z é l
վուվուզելա	v u v u z e l ɑ́
վռազ	v ə r ɑ́ z
վռազել	v ə r ɑ z é l
վռնդել	v ə r ə n tʰ é l
վստահ	v ə s t ɑ́ h
վստահաբար	v ə s t ɑ h ɑ pʰ ɑ́ ɾ
վստահել	v ə s t ɑ h é l
վստահելի	v ə s t ɑ h e l í
վստահություն	v ə s t ɑ h u tʰ ʏ́ n
վտակ	v ə d ɑ́ ɡ
վտանգ	v ə d ɑ́ ŋ kʰ
վտանգավոր	v ə d ɑ ŋ kʰ ɑ v ó ɾ
վտանգավորություն	v ə d ɑ ŋ kʰ ɑ v o ɾ u tʰ ʏ́ n
վտանգել	v ə d ɑ ŋ kʰ é l
վտանգում	v ə d ɑ ŋ kʰ ú m
վտանգվել	v ə d ɑ ŋ kʰ v é l
վտառ	v ə d ɑ́ r
վտարանդի	v ə d ɑ ɾ ɑ n tʰ í
վտարել	v ə d ɑ ɾ é l
վտարում	v ə d ɑ ɾ ú m
վտիտ	v ə d í d
վրա	v ə ɾ ɑ́
վրաերթ	v ə ɾ ɑ j é ɾ tʰ
վրայով	v ə ɾ ɑ j ó v
վրան	v ə ɾ ɑ́ n
վրաց	v ə ɾ ɑ́ t͡sʰ
վրացական	v ə ɾ ɑ t͡sʰ ɑ ɡ ɑ́ n
վրացերեն	v ə ɾ ɑ t͡sʰ e ɾ é n
վրացի	v ə ɾ ɑ t͡sʰ í
վրդով	v ə ɾ tʰ ó v
վրդովել	v ə ɾ tʰ o v é l
վրդովվել	v ə ɾ tʰ o vː é l
վրեժ	v ə ɾ é ʒ
վրեպ	v ə ɾ é b
վրիժառու	v ə r i ʒ ɑ r ú
վրիպակ	v ə ɾ i b ɑ́ ɡ
վրձին	v ə ɾ t͡sʰ í n
տ	d ə
տաբատ	d ɑ pʰ ɑ́ d
տաբու	d ɑ pʰ ú
տագալերեն	d ɑ kʰ ɑ l e ɾ é n
տագալոգ	d ɑ kʰ ɑ́ l o kʰ
տագերակին	d ɑ kʰ e ɾ ɑ ɡ í n
տագերկին	d ɑ kʰ e ɾ ɡ í n
տագնապ	d ɑ kʰ n ɑ́ b
տագնապալի	d ɑ kʰ n ɑ b ɑ l í
տագնապալից	d ɑ kʰ n ɑ b ɑ l í t͡sʰ
տագր	d ɑ́ kʰ ə ɾ
տալ	d ɑ l
տախտ	d ɑ χ t
տախտակ	d ɑ χ t ɑ́ ɡ
տախտակամած	d ɑ χ t ɑ ɡ ɑ m ɑ́ d͡z
տակ	d ɑ ɡ
տականք	d ɑ ɡ ɑ́ ŋ kʰ
տակաշոր	d ɑ ɡ ɑ ʃ ó ɾ
տակառ	d ɑ ɡ ɑ́ r
տակառագործ	d ɑ ɡ ɑ r ɑ kʰ ó ɾ d͡z
տակավին	d ɑ ɡ ɑ v í n
տակնուվրա	d ɑ ɡ n u v ə ɾ ɑ́
տակռի	d ɑ ɡ r í
տահիթի	d ɑ h í tʰ i
տահիտի	d ɑ h í d i
տաղ	d ɑ ʁ
տաղանդ	d ɑ ʁ ɑ́ n tʰ
տաղանդավոր	d ɑ ʁ ɑ n tʰ ɑ v ó ɾ
տաղավար	d ɑ ʁ ɑ v ɑ́ ɾ
տաղտկանալ	d ɑ ʁ d ɡ ɑ n ɑ́ l
տաղտկավուն	d ɑ χ t ɡ ɑ v ú n
տաղտկոտ	d ɑ ʁ d ɡ ó d
տաղտուկ	d ɑ ʁ d ú ɡ
տաճար	d ɑ d͡ʒ ɑ́ ɾ
տաճարական	d ɑ d͡ʒ ɑ ɾ ɑ ɡ ɑ́ n
տաճիկ	d ɑ d͡ʒ í ɡ
տաճկերեն	d ɑ d͡ʒ ɡ e ɾ é n
տամուկ	d ɑ m ú ɡ
տանգո	d ɑ ŋ kʰ ó
տանգո	d ɑ́ ŋ kʰ o
տանել	d ɑ n é l
տանը	d ɑ́ n ə
տանիլ	d ɑ n í l
տանիք	d ɑ n í kʰ
տանկ	d ɑ ŋ ɡ
տանձ	d ɑ n t͡sʰ
տանձենի	d ɑ n t͡sʰ e n í
տանուտեր	d ɑ n u d é ɾ
տանջել	d ɑ n t͡ʃʰ é l
տանտալ	d ɑ n d ɑ́ l
տանտեր	d ɑ n d é ɾ
տանտիկին	d ɑ n d i ɡ í n
տանտիրուհի	d ɑ n d i ɾ u h í
տաշ	d ɑ ʃ
տաշել	d ɑ ʃ é l
տաշտ	d ɑ ʃ t
տապ	d ɑ b
տապալ	d ɑ b ɑ́ l
տապալել	d ɑ b ɑ l é l
տապակ	d ɑ b ɑ́ ɡ
տապակել	d ɑ b ɑ ɡ é l
տապան	d ɑ b ɑ́ n
տապանաքար	d ɑ b ɑ n ɑ kʰ ɑ́ ɾ
տապար	d ɑ b ɑ́ ɾ
տապեղ	d ɑ b é ʁ
տապիոկա	d ɑ b i j o ɡ ɑ́
տաջիկ	d ɑ t͡ʃʰ í ɡ
տաջիկական	d ɑ t͡ʃʰ i ɡ ɑ ɡ ɑ́ n
տաջիկերեն	d ɑ t͡ʃʰ i ɡ e ɾ é n
տառ	d ɑ r
տառադարձել	d ɑ r ɑ tʰ ɑ ɾ t͡sʰ é l
տառադարձություն	d ɑ r ɑ tʰ ɑ ɾ t͡sʰ u tʰ ʏ́ n
տառապանք	d ɑ r ɑ b ɑ́ ŋ kʰ
տառապել	d ɑ r ɑ b é l
տառապեցնել	d ɑ r ɑ b e t͡sʰ ə n é l
տառապիլ	d ɑ r ɑ b í l
տառասխալ	d ɑ r ɑ s ə χ ɑ́ l
տառատեսակ	d ɑ r ɑ d e s ɑ́ ɡ
տառեխ	d ɑ r é χ
տառեղ	d ɑ r é ʁ
տաս	d ɑ s
տասերորդ	d ɑ́ s e ɾ o ɾ tʰ
տասը	d ɑ́ s ə
տասնամյակ	d ɑ s n ɑ m j ɑ́ ɡ
տասներեք	d ɑ s n ə j e ɾ é kʰ
տասներեքերորդ	d ɑ s n ə j e ɾ é kʰ e ɾ o ɾ tʰ
տասներկու	d ɑ s n ə j e ɾ ɡ ú
տասներորդ	d ɑ́ s n e ɾ o ɾ tʰ
տասնինը	d ɑ s n ə í n ə
տասնիցս	d ɑ s n í t͡sʰ ə s
տասնհինգ	d ɑ s n ə h í ŋ kʰ
տասնմեկ	d ɑ s n ə m é ɡ
տասնյոթ	d ɑ s n ə j ó tʰ
տասնութ	d ɑ s n ú tʰ
տասնութ	d ɑ s n ə ú tʰ
տասնչորս	d ɑ s n ə t͡ʃʰ ó ɾ s
տասնվեց	d ɑ s n ə v é t͡sʰ
տավար	d ɑ v ɑ́ ɾ
տավիղ	d ɑ v í ʁ
տավիղահար	d ɑ v i ʁ ɑ h ɑ́ ɾ
տատ	d ɑ d
տատական	d ɑ d ɑ ɡ ɑ́ n
տատասկ	d ɑ d ɑ́ s k
տատի	d ɑ d í
տատիկ	d ɑ d í ɡ
տատմայր	d ɑ d m ɑ́ j ɾ
տատմեր	d ɑ d m é ɾ
տատրակ	d ɑ d ɾ ɑ́ ɡ
տար	d ɑ ɾ
տարա	d ɑ ɾ ɑ́
տարաբանվոր	d ɑ ɾ ɑ pʰ ɑ n v ó ɾ
տարադրամ	d ɑ ɾ ɑ tʰ ə ɾ ɑ́ m
տարադրամի	d ɑ ɾ ɑ tʰ ə ɾ ɑ m í
տարաժամանակյա	d ɑ ɾ ɑ ʒ ɑ m ɑ n ɑ ɡ j ɑ́
տարածաժամանակային	d ɑ ɾ ɑ d͡z ɑ ʒ ɑ m ɑ n ɑ ɡ ɑ j í n
տարածաշրջան	d ɑ ɾ ɑ d͡z ɑ ʃ ə ɾ t͡ʃʰ ɑ́ n
տարածաշրջանային	d ɑ ɾ ɑ d͡z ɑ ʃ ə ɾ t͡ʃʰ ɑ n ɑ j í n
տարածել	d ɑ ɾ ɑ d͡z é l
տարածություն	d ɑ ɾ ɑ d͡z u tʰ ʏ́ n
տարածված	d ɑ ɾ ɑ d͡z v ɑ́ d͡z
տարածք	d ɑ ɾ ɑ́ t͡sʰ kʰ
տարածքային	d ɑ ɾ ɑ t͡sʰ kʰ ɑ j í n
տարակույս	d ɑ ɾ ɑ ɡ ú j s
տարակուսել	d ɑ ɾ ɑ ɡ u s é l
տարամիտել	d ɑ ɾ ɑ m i d é l
տարատեսակ	d ɑ ɾ ɑ d e s ɑ́ ɡ
տարափ	d ɑ ɾ ɑ́ pʰ
տարբեր	d ɑ ɾ pʰ é ɾ
տարբերակ	d ɑ ɾ pʰ e ɾ ɑ́ ɡ
տարբերել	d ɑ ɾ pʰ e ɾ é l
տարբերություն	d ɑ ɾ pʰ e ɾ u tʰ ʏ́ n
տարեդարձ	d ɑ ɾ e tʰ ɑ́ ɾ t͡sʰ
տարելից	d ɑ ɾ e l í t͡sʰ
տարեկան	d ɑ ɾ e ɡ ɑ́ n
տարեկետում	d ɑ ɾ e ɡ e d ú m
տարերային	d ɑ ɾ e ɾ ɑ j í n
տարերք	d ɑ ɾ é ɾ kʰ
տարեց	d ɑ ɾ é t͡sʰ
տարթ	d ɑ ɾ tʰ
տարի	d ɑ ɾ í
տարիք	d ɑ ɾ í kʰ
տարխուն	d ɑ ɾ χ ú n
տարկետել	d ɑ ɾ ɡ e d é l
տարկետում	d ɑ ɾ ɡ e d ú m
տարկետվել	d ɑ ɾ ɡ e d v é l
տարմ	d ɑ ɾ m
տարմահավ	d ɑ ɾ m ɑ h ɑ́ v
տարնմանություն	d ɑ ɾ n ə m ɑ n u tʰ ʏ́ n
տարողություն	d ɑ ɾ o ʁ u tʰ ʏ́ n
տարվել	d ɑ ɾ v é l
տարտամ	d ɑ ɾ d ɑ́ m
տարփ	d ɑ ɾ pʰ
տարօրինակ	d ɑ ɾ o ɾ i n ɑ́ ɡ
տափ	d ɑ pʰ
տափակ	d ɑ pʰ ɑ́ ɡ
տափակաշուրթ	d ɑ pʰ ɑ ɡ ɑ ʃ ú ɾ tʰ
տափան	d ɑ pʰ ɑ́ n
տափաստան	d ɑ pʰ ɑ s t ɑ́ n
տափաստանային	d ɑ pʰ ɑ s t ɑ n ɑ j í n
տափօղակ	d ɑ pʰ o ʁ ɑ́ ɡ
տաք	d ɑ kʰ
տաքավուն	d ɑ kʰ ɑ v ú n
տաքդեղ	d ɑ kʰ tʰ é ʁ
տաքություն	d ɑ kʰ u tʰ ʏ́ n
տաքսի	d ɑ kʰ s í
տգեղ	d ə kʰ é ʁ
տգետ	d ə kʰ é d
տգիտություն	d ə kʰ i d u tʰ ʏ́ n
տեգ	d e kʰ
տեգերակին	d e kʰ e ɾ ɑ ɡ í n
տեգերկին	d e kʰ e ɾ ɡ í n
տեգր	d é kʰ ə ɾ
տեգրակին	d e kʰ ɾ ɑ ɡ í n
տելուգու	d é l u kʰ u
տելուր	d e l ú ɾ
տեխնեցիում	d e χ n e t͡sʰ i j ú m
տեխնեցիում	d e χ n é t͡sʰ i j u m
տեխնիկա	d e χ n i ɡ ɑ́
տեխնիկա	d é χ n i ɡ ɑ
տեխնիկական	d e χ n i ɡ ɑ ɡ ɑ́ n
տեխնոլոգիա	d e χ n o l ó kʰ i j ɑ
տեխնոլոգիաներ	d e χ n o l o kʰ i j ɑ n é ɾ
տեխնոպարկ	d e χ n o b ɑ́ ɾ ɡ
տեղ	d e ʁ
տեղադրել	d e ʁ ɑ tʰ ɾ é l
տեղադրում	d e ʁ ɑ tʰ ɾ ú m
տեղակալ	d e ʁ ɑ ɡ ɑ́ l
տեղաղադրվել	d e ʁ ɑ tʰ ə ɾ v é l
տեղաճարակ	d e ʁ ɑ d͡ʒ ɑ ɾ ɑ́ ɡ
տեղամաս	d e ʁ ɑ m ɑ́ s
տեղանուն	d e ʁ ɑ n ú n
տեղանք	d e ʁ ɑ́ ŋ kʰ
տեղաշարժել	d e ʁ ɑ ʃ ɑ ɾ ʒ é l
տեղաշոր	d e ʁ ɑ ʃ ó ɾ
տեղատվություն	d e ʁ ɑ d v u tʰ ʏ́ n
տեղափոխել	d e ʁ ɑ pʰ o χ é l
տեղեկանալ	d e ʁ e ɡ ɑ n ɑ́ l
տեղեկատու	d e ʁ e ɡ ɑ d ú
տեղեկատվական	d e ʁ e ɡ ɑ d v ɑ ɡ ɑ́ n
տեղեկատվություն	d e ʁ e ɡ ɑ d v u tʰ ʏ́ n
տեղեկացնել	d e ʁ e ɡ ɑ t͡sʰ ə n é l
տեղեկություն	d e ʁ e ɡ u tʰ ʏ́ n
տեղի	d e ʁ í
տեղիք	d e ʁ í kʰ
տեղյակ	d e ʁ j ɑ́ ɡ
տենալ	d e n ɑ́ l
տենդ	d e n tʰ
տենդախտ	d e n tʰ ɑ́ χ t
տենչալ	d e n t͡ʃʰ ɑ́ l
տեռ	d e r
տեռորիստական	d e r o ɾ i s t ɑ ɡ ɑ́ n
տեսաերիզ	d e s ɑ j e ɾ í z
տեսախցիկ	d e s ɑ χ ə t͡sʰ í ɡ
տեսակ	d e s ɑ́ ɡ
տեսական	d e s ɑ ɡ ɑ́ n
տեսականիշ	d e s ɑ ɡ ɑ n í ʃ
տեսականորեն	d e s ɑ ɡ ɑ n o ɾ é n
տեսակետ	d e s ɑ ɡ é d
տեսահոլովակ	d e s ɑ h o l o v ɑ́ ɡ
տեսանելի	d e s ɑ n e l í
տեսանյութ	d e s ɑ n ʏ́ tʰ
տեսարան	d e s ɑ ɾ ɑ́ n
տեսարժան	d e s ɑ ɾ ʒ ɑ́ n
տեսիլ	d e s í l
տեսիլք	d e s í l kʰ
տեսլական	d e s l ɑ ɡ ɑ́ n
տեսնալ	d e s n ɑ́ l
տեսնել	d e s n é l
տեսնվել	d e s n ə v é l
տեսողություն	d e s o ʁ u tʰ ʏ́ n
տեսություն	d e s u tʰ ʏ́ n
տեսուչ	d e s ú t͡ʃʰ
տեսչական	d e s t͡ʃʰ ɑ ɡ ɑ́ n
տեսք	d e s kʰ
տետր	d é d ə ɾ
տեր	d e ɾ
տերբիում	d e ɾ pʰ i j ú m
տերբիում	d é ɾ pʰ i j u m
տերեփուկ	d e ɾ e pʰ ú ɡ
տերիտորիա	d e ɾ i d o ɾ i j ɑ́
տերմին	d e ɾ m í n
տերմին	d é ɾ m i n
տերություն	d e ɾ u tʰ ʏ́ n
տերունի	d e ɾ u n í
տերտեր	d e ɾ d é ɾ
տերև	d e ɾ é v
տեքստ	d e kʰ s t
տեքր	d é kʰ ə ɾ
տզրուկ	d ə z ɾ ú ɡ
տէրվիշ	d e ɾ v í ʃ
տժվժալ	d ə ʒ v ə ʒ ɑ́ l
տժվժիկ	d ə ʒ v ə ʒ í ɡ
տի	d i
տիբեթական	d i pʰ e tʰ ɑ ɡ ɑ́ n
տիբեթերեն	d i pʰ e tʰ e ɾ é n
տիեզերագնաց	d i j e z e ɾ ɑ kʰ ə n ɑ́ t͡sʰ
տիեզերանավ	d i j e z e ɾ ɑ n ɑ́ v
տիեզերք	d i j e z é ɾ kʰ
տիեզերք	d j e z é ɾ kʰ
տիզ	d i z
տիկ	d i ɡ
տիկին	d i ɡ í n
տիկնիկ	d i ɡ n í ɡ
տիկնիկային	d i ɡ n i ɡ ɑ j í n
տիկնունի	d i ɡ n u n í
տիղմ	d i ʁ m
տիպ	d i b
տիպաբանական	d i b ɑ pʰ ɑ n ɑ ɡ ɑ́ n
տիվ	d i v
տիվիթ	d i v í tʰ
տիտան	d i d ɑ́ n
տիր	d i ɾ
տիրակալ	d i ɾ ɑ ɡ ɑ́ l
տիրապետել	d i ɾ ɑ b e d é l
տիրապետում	d i ɾ ɑ b e d ú m
տիրացու	d i ɾ ɑ t͡sʰ ú
տիրել	d i ɾ é l
տիրություն	d i ɾ u tʰ ʏ́ n
տիւմէնճի	d ʏ m e n d͡ʒ í
տիք	d i kʰ
տխմար	d ə χ m ɑ́ ɾ
տխուր	d ə χ ú ɾ
տխրություն	d ə χ ɾ u tʰ ʏ́ n
տկար	d ə ɡ ɑ́ ɾ
տկլոր	d ə ɡ l ó ɾ
տկողին	d ə ɡ o ʁ í n
տկռել	d ə ɡ r é l
տհաճ	d ə h ɑ́ d͡ʒ
տհաս	d ə h ɑ́ s
տձև	d ə t͡sʰ é v
տղա	d ə ʁ ɑ́
տղամարդ	d ə ʁ ɑ m ɑ́ ɾ tʰ
տղամարդիկ	d ə ʁ ɑ m ɑ ɾ tʰ í ɡ
տղմուտ	d ə ʁ m ú d
տմարդի	d ə m ɑ ɾ tʰ í
տյար	d j ɑ ɾ
տյուն	d ʏ n
տյուրացի	d ʏ ɾ ɑ t͡sʰ í
տնակ	d ə n ɑ́ ɡ
տնական	d ə n ɑ ɡ ɑ́ n
տնային	d ə n ɑ j í n
տնաշեն	d ə n ɑ ʃ é n
տնատիրուհի	d ə n ɑ d i ɾ u h í
տնգել	d ə ŋ kʰ é l
տնգվել	d ə ŋ kʰ v é l
